orden,anio,mes,dia,fecha,pais,ciudad,categoría,producto,precio,util_porcent,Cantidad,Total,utilidad
1,2024,1,16,16/01/2023,Chile,Valparaíso,Tablets,Samsung Galaxy Tab S7,699,0.15,1,699,104.85
2,2024,1,1,01/01/2023,Colombia,Cali,Smartphones,Asus ROG Phone 5,1099,0.13,2,2198,285.74
3,2024,1,15,15/01/2023,Perú,Trujillo,Tablets,LG G Pad 5 10.1,249,0.33,2,498,164.34
4,2024,1,16,16/01/2023,Perú,Lima,Tablets,Microsoft Surface Pro 7,999,0.35,4,3996,1398.6
5,2024,1,18,18/01/2023,Paraguay,Ciudad del Este,Auriculares,Beats Studio3,274,0.13,1,274,35.62
6,2024,1,31,31/01/2023,Chile,Santiago,Smartphones,Huawei P40 Pro,899,0.34,2,1798,611.32
7,2024,1,16,16/01/2023,Chile,Concepción,Smartphones,Asus ROG Phone 5,1099,0.13,1,1099,142.87
8,2024,1,11,11/01/2023,Costa Rica,Limón,Auriculares,Sennheiser Momentum 3,324,0.32,3,972,311.04
9,2024,1,11,11/01/2023,Ecuador,Guayaquil,Laptops,MSI GS66 Stealth,2249,0.2,5,11245,2249
10,2024,1,8,08/01/2023,Costa Rica,Limón,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
11,2024,1,31,31/01/2023,México,Ciudad de México (CDMX),Laptops,Dell XPS 13,1399,0.35,3,4197,1468.95
12,2024,1,9,09/01/2023,Brasil,Río de Janeiro,Auriculares,Bose QuietComfort 35 II,274,0.28,3,822,230.16
13,2024,1,10,10/01/2023,Perú,Trujillo,Auriculares,Beats Studio3,274,0.13,5,1370,178.1
14,2024,1,4,04/01/2023,Paraguay,Asunción,Auriculares,Razer Opus,224,0.11,5,1120,123.2
15,2024,1,23,23/01/2023,Chile,Valparaíso,Auriculares,Bose QuietComfort 35 II,274,0.28,3,822,230.16
16,2024,1,3,03/01/2023,Costa Rica,Limón,Smartphones,Huawei P40 Pro,899,0.34,3,2697,916.98
17,2024,1,23,23/01/2023,Paraguay,Encarnación,Tablets,iPad Air,649,0.33,2,1298,428.34
18,2024,1,31,31/01/2023,México,Monterrey,Laptops,Acer Swift 5,899,0.32,1,899,287.68
19,2024,1,31,31/01/2023,Chile,Santiago,Smartphones,iPhone 13,1099,0.19,5,5495,1044.05
20,2024,1,17,17/01/2023,Chile,Valparaíso,Smartphones,LG Velvet,649,0.12,3,1947,233.64
21,2024,1,12,12/01/2023,Costa Rica,Limón,Tablets,Xiaomi Mi Pad 5,449,0.26,2,898,233.48
22,2024,1,9,09/01/2023,México,Ciudad de México (CDMX),Smartphones,Samsung Galaxy S21,899,0.28,1,899,251.72
23,2024,1,17,17/01/2023,Costa Rica,San José,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
24,2024,1,27,27/01/2023,Perú,Trujillo,Laptops,ASUS ZenBook 14,1149,0.29,2,2298,666.42
25,2024,1,21,21/01/2023,Colombia,Cali,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
26,2024,1,20,20/01/2023,Paraguay,Asunción,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
27,2024,1,11,11/01/2023,Ecuador,Cuenca,Tablets,Microsoft Surface Pro 7,999,0.35,3,2997,1048.95
28,2024,1,8,08/01/2023,Colombia,Medellín,Auriculares,Razer Opus,224,0.11,4,896,98.56
29,2024,1,12,12/01/2023,Perú,Lima,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72
30,2024,1,25,25/01/2023,México,Guadalajara,Smartphones,Sony Xperia 1 III,1199,0.1,2,2398,239.8
31,2024,1,18,18/01/2023,Bolivia,Cochabamba,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,5,10245,1126.95
32,2024,1,8,08/01/2023,Perú,Arequipa,Auriculares,Beats Studio3,274,0.13,3,822,106.86
33,2024,1,24,24/01/2023,Perú,Trujillo,Auriculares,Microsoft Surface Earbuds,224,0.14,4,896,125.44
34,2024,1,13,13/01/2023,Bolivia,Cochabamba,Smartphones,iPhone 13,1099,0.19,3,3297,626.43
35,2024,1,24,24/01/2023,Perú,Lima,Laptops,ASUS ZenBook 14,1149,0.29,2,2298,666.42
36,2024,1,25,25/01/2023,Brasil,Río de Janeiro,Laptops,MacBook Pro 14,2999,0.19,5,14995,2849.05
37,2024,1,10,10/01/2023,Brasil,Río de Janeiro,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,4,8196,901.56
38,2024,1,23,23/01/2023,Bolivia,Santa Cruz de la Sierra,Auriculares,Sony WH-1000XM4,324,0.27,1,324,87.48
39,2024,1,27,27/01/2023,Paraguay,Asunción,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,2,4098,450.78
40,2024,1,2,02/01/2023,Uruguay,Salto,Auriculares,Samsung Galaxy Buds Pro,174,0.11,2,348,38.28
41,2024,1,30,30/01/2023,Venezuela,Valencia,Smartphones,Xiaomi Mi 11,699,0.2,5,3495,699
42,2024,1,30,30/01/2023,Perú,Arequipa,Tablets,iPad Air,649,0.33,2,1298,428.34
43,2024,1,23,23/01/2023,Panamá,Colón,Smartphones,Google Pixel 6,749,0.28,5,3745,1048.6
44,2024,1,27,27/01/2023,Paraguay,Encarnación,Auriculares,Jabra Elite 85t,224,0.21,3,672,141.12
45,2024,1,30,30/01/2023,Ecuador,Quito,Smartphones,OnePlus 9,799,0.32,2,1598,511.36
46,2024,1,21,21/01/2023,Costa Rica,Limón,Smartphones,Huawei P40 Pro,899,0.34,3,2697,916.98
47,2024,1,6,06/01/2023,Chile,Valparaíso,Smartphones,Motorola Edge 20 Pro,849,0.2,1,849,169.8
48,2024,1,24,24/01/2023,México,Ciudad de México (CDMX),Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,5,10245,1126.95
49,2024,1,21,21/01/2023,Costa Rica,Heredia,Smartphones,Samsung Galaxy S21,899,0.28,5,4495,1258.6
50,2024,1,29,29/01/2023,México,Guadalajara,Auriculares,Microsoft Surface Earbuds,224,0.14,5,1120,156.8
51,2024,1,30,30/01/2023,Ecuador,Cuenca,Tablets,ASUS ZenPad 3S 10,399,0.2,2,798,159.6
52,2024,1,9,09/01/2023,Brasil,Río de Janeiro,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,2,4098,450.78
53,2024,1,14,14/01/2023,Paraguay,Encarnación,Smartphones,Samsung Galaxy S21,899,0.28,4,3596,1006.88
54,2024,1,27,27/01/2023,Venezuela,Caracas,Smartphones,Motorola Edge 20 Pro,849,0.2,5,4245,849
55,2024,1,26,26/01/2023,Uruguay,Montevideo,Laptops,Dell XPS 13,1399,0.35,4,5596,1958.6
56,2024,1,30,30/01/2023,Brasil,Río de Janeiro,Laptops,MSI GS66 Stealth,2249,0.2,4,8996,1799.2
57,2024,1,13,13/01/2023,Panamá,Colón,Tablets,Samsung Galaxy Tab S7,699,0.15,1,699,104.85
58,2024,1,4,04/01/2023,Argentina,Buenos Aires,Auriculares,Bose QuietComfort 35 II,274,0.28,4,1096,306.88
59,2024,1,28,28/01/2023,Bolivia,Santa Cruz de la Sierra,Smartphones,OnePlus 9,799,0.32,4,3196,1022.72
60,2024,1,8,08/01/2023,México,Monterrey,Tablets,Amazon Fire HD 10,199,0.31,2,398,123.38
61,2024,1,5,05/01/2023,Brasil,Brasilia,Auriculares,Apple AirPods Pro,224,0.26,5,1120,291.2
62,2024,1,15,15/01/2023,Paraguay,Ciudad del Este,Laptops,Acer Swift 5,899,0.32,5,4495,1438.4
